berkeley_db-CVE-2017-3604, tool 2, berkeley_db    , CVE-2017-3604  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
firefox-CVE-2017-5435, tool 2, firefox        , CVE-2017-5435  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5436, tool 2, firefox        , CVE-2017-5436  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5438, tool 2, firefox        , CVE-2017-5438  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5439, tool 2, firefox        , CVE-2017-5439  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5440, tool 2, firefox        , CVE-2017-5440  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5441, tool 2, firefox        , CVE-2017-5441  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5442, tool 2, firefox        , CVE-2017-5442  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5443, tool 2, firefox        , CVE-2017-5443  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5444, tool 2, firefox        , CVE-2017-5444  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5445, tool 2, firefox        , CVE-2017-5445  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5446, tool 2, firefox        , CVE-2017-5446  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5447, tool 2, firefox        , CVE-2017-5447  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5448, tool 2, firefox        , CVE-2017-5448  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5449, tool 2, firefox        , CVE-2017-5449  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5450, tool 2, firefox        , CVE-2017-5450  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5451, tool 2, firefox        , CVE-2017-5451  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5452, tool 2, firefox        , CVE-2017-5452  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5453, tool 2, firefox        , CVE-2017-5453  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5454, tool 2, firefox        , CVE-2017-5454  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5455, tool 2, firefox        , CVE-2017-5455  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5456, tool 2, firefox        , CVE-2017-5456  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5458, tool 2, firefox        , CVE-2017-5458  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5459, tool 2, firefox        , CVE-2017-5459  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5460, tool 2, firefox        , CVE-2017-5460  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5462, tool 2, firefox        , CVE-2017-5462  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5463, tool 2, firefox        , CVE-2017-5463  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5464, tool 2, firefox        , CVE-2017-5464  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5465, tool 2, firefox        , CVE-2017-5465  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5466, tool 2, firefox        , CVE-2017-5466  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5467, tool 2, firefox        , CVE-2017-5467  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5468, tool 2, firefox        , CVE-2017-5468  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5469, tool 2, firefox        , CVE-2017-5469  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5470, tool 2, firefox        , CVE-2017-5470  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5471, tool 2, firefox        , CVE-2017-5471  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5472, tool 2, firefox        , CVE-2017-5472  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7749, tool 2, firefox        , CVE-2017-7749  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7750, tool 2, firefox        , CVE-2017-7750  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7751, tool 2, firefox        , CVE-2017-7751  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7752, tool 2, firefox        , CVE-2017-7752  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7753, tool 2, firefox        , CVE-2017-7753  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7754, tool 2, firefox        , CVE-2017-7754  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7755, tool 2, firefox        , CVE-2017-7755  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7756, tool 2, firefox        , CVE-2017-7756  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7757, tool 2, firefox        , CVE-2017-7757  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7758, tool 2, firefox        , CVE-2017-7758  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7759, tool 2, firefox        , CVE-2017-7759  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7760, tool 2, firefox        , CVE-2017-7760  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7761, tool 2, firefox        , CVE-2017-7761  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7762, tool 2, firefox        , CVE-2017-7762  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7763, tool 2, firefox        , CVE-2017-7763  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7764, tool 2, firefox        , CVE-2017-7764  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7765, tool 2, firefox        , CVE-2017-7765  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7766, tool 2, firefox        , CVE-2017-7766  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7767, tool 2, firefox        , CVE-2017-7767  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7768, tool 2, firefox        , CVE-2017-7768  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7770, tool 2, firefox        , CVE-2017-7770  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7771, tool 2, firefox        , CVE-2017-7771  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7772, tool 2, firefox        , CVE-2017-7772  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7773, tool 2, firefox        , CVE-2017-7773  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7774, tool 2, firefox        , CVE-2017-7774  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7776, tool 2, firefox        , CVE-2017-7776  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7777, tool 2, firefox        , CVE-2017-7777  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7778, tool 2, firefox        , CVE-2017-7778  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7779, tool 2, firefox        , CVE-2017-7779  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7780, tool 2, firefox        , CVE-2017-7780  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7781, tool 2, firefox        , CVE-2017-7781  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7782, tool 2, firefox        , CVE-2017-7782  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7783, tool 2, firefox        , CVE-2017-7783  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7784, tool 2, firefox        , CVE-2017-7784  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7785, tool 2, firefox        , CVE-2017-7785  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7786, tool 2, firefox        , CVE-2017-7786  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7787, tool 2, firefox        , CVE-2017-7787  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7788, tool 2, firefox        , CVE-2017-7788  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7789, tool 2, firefox        , CVE-2017-7789  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7790, tool 2, firefox        , CVE-2017-7790  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7791, tool 2, firefox        , CVE-2017-7791  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7792, tool 2, firefox        , CVE-2017-7792  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7793, tool 2, firefox        , CVE-2017-7793  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7794, tool 2, firefox        , CVE-2017-7794  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7796, tool 2, firefox        , CVE-2017-7796  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7797, tool 2, firefox        , CVE-2017-7797  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7798, tool 2, firefox        , CVE-2017-7798  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7799, tool 2, firefox        , CVE-2017-7799  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7800, tool 2, firefox        , CVE-2017-7800  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7801, tool 2, firefox        , CVE-2017-7801  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7802, tool 2, firefox        , CVE-2017-7802  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7803, tool 2, firefox        , CVE-2017-7803  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7804, tool 2, firefox        , CVE-2017-7804  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7806, tool 2, firefox        , CVE-2017-7806  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7807, tool 2, firefox        , CVE-2017-7807  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7808, tool 2, firefox        , CVE-2017-7808  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7809, tool 2, firefox        , CVE-2017-7809  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7810, tool 2, firefox        , CVE-2017-7810  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7811, tool 2, firefox        , CVE-2017-7811  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7812, tool 2, firefox        , CVE-2017-7812  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7813, tool 2, firefox        , CVE-2017-7813  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7814, tool 2, firefox        , CVE-2017-7814  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7815, tool 2, firefox        , CVE-2017-7815  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7816, tool 2, firefox        , CVE-2017-7816  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7817, tool 2, firefox        , CVE-2017-7817  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7818, tool 2, firefox        , CVE-2017-7818  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7819, tool 2, firefox        , CVE-2017-7819  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7820, tool 2, firefox        , CVE-2017-7820  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7821, tool 2, firefox        , CVE-2017-7821  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7822, tool 2, firefox        , CVE-2017-7822  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7823, tool 2, firefox        , CVE-2017-7823  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7824, tool 2, firefox        , CVE-2017-7824  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7825, tool 2, firefox        , CVE-2017-7825  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7826, tool 2, firefox        , CVE-2017-7826  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7827, tool 2, firefox        , CVE-2017-7827  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7828, tool 2, firefox        , CVE-2017-7828  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7830, tool 2, firefox        , CVE-2017-7830  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7831, tool 2, firefox        , CVE-2017-7831  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7832, tool 2, firefox        , CVE-2017-7832  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7833, tool 2, firefox        , CVE-2017-7833  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7834, tool 2, firefox        , CVE-2017-7834  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7835, tool 2, firefox        , CVE-2017-7835  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7836, tool 2, firefox        , CVE-2017-7836  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7837, tool 2, firefox        , CVE-2017-7837  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7838, tool 2, firefox        , CVE-2017-7838  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7839, tool 2, firefox        , CVE-2017-7839  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7840, tool 2, firefox        , CVE-2017-7840  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7842, tool 2, firefox        , CVE-2017-7842  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7843, tool 2, firefox        , CVE-2017-7843  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7844, tool 2, firefox        , CVE-2017-7844  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-7845, tool 2, firefox        , CVE-2017-7845  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12358, tool 2, firefox        , CVE-2018-12358 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12359, tool 2, firefox        , CVE-2018-12359 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12360, tool 2, firefox        , CVE-2018-12360 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12361, tool 2, firefox        , CVE-2018-12361 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12362, tool 2, firefox        , CVE-2018-12362 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12363, tool 2, firefox        , CVE-2018-12363 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12364, tool 2, firefox        , CVE-2018-12364 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12365, tool 2, firefox        , CVE-2018-12365 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12366, tool 2, firefox        , CVE-2018-12366 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12367, tool 2, firefox        , CVE-2018-12367 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12368, tool 2, firefox        , CVE-2018-12368 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12369, tool 2, firefox        , CVE-2018-12369 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12370, tool 2, firefox        , CVE-2018-12370 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12371, tool 2, firefox        , CVE-2018-12371 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12375, tool 2, firefox        , CVE-2018-12375 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12376, tool 2, firefox        , CVE-2018-12376 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12377, tool 2, firefox        , CVE-2018-12377 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12378, tool 2, firefox        , CVE-2018-12378 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12379, tool 2, firefox        , CVE-2018-12379 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12381, tool 2, firefox        , CVE-2018-12381 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12383, tool 2, firefox        , CVE-2018-12383 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12385, tool 2, firefox        , CVE-2018-12385 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12386, tool 2, firefox        , CVE-2018-12386 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12387, tool 2, firefox        , CVE-2018-12387 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12388, tool 2, firefox        , CVE-2018-12388 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12390, tool 2, firefox        , CVE-2018-12390 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12391, tool 2, firefox        , CVE-2018-12391 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12392, tool 2, firefox        , CVE-2018-12392 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12393, tool 2, firefox        , CVE-2018-12393 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12395, tool 2, firefox        , CVE-2018-12395 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12396, tool 2, firefox        , CVE-2018-12396 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12397, tool 2, firefox        , CVE-2018-12397 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12398, tool 2, firefox        , CVE-2018-12398 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12399, tool 2, firefox        , CVE-2018-12399 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12400, tool 2, firefox        , CVE-2018-12400 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12401, tool 2, firefox        , CVE-2018-12401 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12402, tool 2, firefox        , CVE-2018-12402 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12403, tool 2, firefox        , CVE-2018-12403 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12405, tool 2, firefox        , CVE-2018-12405 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12406, tool 2, firefox        , CVE-2018-12406 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-12407, tool 2, firefox        , CVE-2018-12407 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18492, tool 2, firefox        , CVE-2018-18492 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18493, tool 2, firefox        , CVE-2018-18493 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18494, tool 2, firefox        , CVE-2018-18494 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18495, tool 2, firefox        , CVE-2018-18495 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18496, tool 2, firefox        , CVE-2018-18496 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2018-18497, tool 2, firefox        , CVE-2018-18497 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
